# NUMBER_1   ALPHA_SKY_1          DELTA_SKY_1           X_IMAGE_1    Y_IMAGE_1    XWIN_IMAGE_1         YWIN_IMAGE_1         XMODEL_IMAGE_1       YMODEL_IMAGE_1       FLUX_AUTO_1   FLUX_MODEL_1   FLUXERR_AUTO_1   FLUXERR_MODEL_1   MAG_AUTO_1   MAG_MODEL_1   MAGERR_AUTO_1   MAGERR_MODEL_1   FLUX_RADIUS_1   FLAGS_1   NITER_MODEL_1   NUMBER_2   ALPHA_SKY_2          DELTA_SKY_2           X_IMAGE_2    Y_IMAGE_2    XWIN_IMAGE_2         YWIN_IMAGE_2         XMODEL_IMAGE_2       YMODEL_IMAGE_2       FLUX_AUTO_2   FLUX_MODEL_2   FLUXERR_AUTO_2   FLUXERR_MODEL_2   MAG_AUTO_2   MAG_MODEL_2   MAGERR_AUTO_2   MAGERR_MODEL_2   FLUX_RADIUS_2   FLAGS_2   NITER_MODEL_2   Separation            
  2          244.26046798803617   -22.976225023121046   550.6345     344.10693    551.967946402206     344.54313264038285   553.1288342475891    344.67010122537613   661517.1      585316.06      636.1124         1787.8989         9.130948     9.263824      0.0010442936    0.0033172816     37.330433       3         48              3          244.25997454041567   -22.976204241426103   553.2484     344.5932     552.4027018932888    344.43860565898996   552.0276926755905    344.3358281850815    1555048.0     1579304.6      714.989          3062.7761         8.197141     8.180336      4.993274E-4     0.0021061008     30.136465       3         45              1.6371936156952451    
  3          244.26561134556545   -22.996219699352547   485.28134    86.30311     485.3444001404501    86.27924856442775    485.3390319943428    86.28793972730637    6593.265      6395.5015      73.341934        75.03096          14.134549    14.167614     0.01208041      0.012740771      4.383679        2         50              4          244.2656487461529    -22.99609215297321    481.5398     88.32127     482.05485058449045   86.5595941974621     482.0459745451808    86.55656552314758    40840.785     37570.293      143.01353        204.88817         12.148766    12.239388     0.0038028823    0.00592246       6.214807        0         52              0.4756006555416304    
  4          244.2577800937455    -22.999359721342312   577.9369     44.195717    577.9462600263959    44.14172577625087    577.9317361116409    44.1062248647213     3683.6057     3571.296       73.95676         73.45094          14.766618    14.800236     0.021803917     0.022335792      4.4663386       2         40              8          244.257821232279     -22.999514735394662   574.0702     42.54153     574.6815981008759    43.936072898163516   574.6432186365128    43.90037006139755    16678.545     15979.86       112.89425        144.2722          13.121105    13.167568     0.0073509505    0.009804817      6.0645633       2         64              0.5744608611898517    
  6          244.25225064861291   -22.999587969734108   643.763      40.201107    643.7612850663636    40.29680195170163    643.7573991417885    40.305451065301895   887.466       869.5565       49.74182         58.887157         16.311922    16.334057     0.060869507     0.073544905      3.8780892       0         55              9          244.25225368266194   -22.999579838623855   640.3745     40.63552     640.3729100305776    40.6314401456313     640.4274836480618    40.61668300628662    1760.9564     1657.9988      87.21669         75.26419          15.562129    15.62754      0.053787433     0.049298536      5.005344        0         50              0.030950590726261103  
  7          244.29448989937998   -23.000878294541625   140.30293    31.388332    140.4892250252454    31.585244569618055   140.47958713769913   31.608369171619415   803.6554      764.88007      59.505466        63.437603         16.419626    16.473318     0.080411255     0.09007064       4.3245506       0         44              10         244.29453122903286   -23.000861959125036   136.52327    32.057858    136.55436209096501   32.10115365436212    136.54100108146667   32.09446031600237    2727.306      2552.5793      88.518654        74.217224         15.087166    15.159052     0.0352477       0.031575866      5.287121        0         37              0.14904974855975647   
  8          244.26261435700914   -23.001199390961684   519.9709     21.294725    519.9405377083261    21.319220364391008   519.8821959644556    21.26817288994789    1729.6475     1576.5333      72.32991         81.26538          15.587406    15.688043     0.04541404      0.055979915      5.0857663       0         33              11         244.2626078119503    -23.001219218402447   516.7022     21.39764     516.5967862685827    21.349441627706888   516.598315268755     21.364749312400818   4109.1587     4094.6636      75.384285        85.29009          14.642118    14.645955     0.019923138     0.022620916      4.9502363       16        50              0.07460121410497796   
  9          244.24574919597745   -23.00167439562974    720.78705    11.972132    720.6483285727618    12.725971819802668   721.0523590147495    12.63155210018158    759.9358      1192.5371      60.48054         298.3548          16.480358    15.99112      0.08643081      0.27170083       4.960464        16        39              14         244.24573822431978   -23.00161714520243    717.5588     13.024687    717.7342339519014    12.950694906201482   717.6995668709278    12.999813822112628   1353.4224     1364.4758      62.50261         69.58195          15.847917    15.839086     0.050152734     0.05538097       4.562914        16        43              0.20928382922300431   
  10         244.25296689209088   -23.00172954132723    634.7921     12.620122    636.0859333014913    11.456447444938402   635.1865588724613    12.282460987567902   263.7309      2001.1699      32.760426        3915.131          17.629398    15.4290905    0.13490199      2.1246734        3.630379        16        32              21         244.25279292479172   -23.001762242277646   633.498      12.4980545   634.0933488254025    11.433267019158661   634.6510896682739    11.465729236602783   1153.8538     1232.1173      79.06778         92.48019          16.021124    15.94987      0.074418105     0.08151292       5.879756        19        77              0.5883856734981957    
  11         244.25241365781037   -23.00177212825994    641.374      11.9647455   639.3821738085435    10.97636466702448    640.1208745241165    11.463797569274902   316.79834     1611.7258      36.214993        2404.7146         17.430344    15.664073     0.124146745     1.6203252        4.339765        16        59              19         244.2524310586588    -23.001909268498235   637.7777     10.526319    635.3914901232716    11.155560999409062   635.378170967102     11.230017721652985   1144.6978     1359.1158      73.4013          84.196014         16.029774    15.843359     0.06963743      0.06727673       5.6212826       18        57              0.4970608058445705    
  12         244.27542319622145   -23.00253822658425    367.10837    6.3637       369.03003335037226   7.5506315708939535   368.02008879184723   7.194672465324402    545.478       2130.7734      47.9094          2408.1775         16.840357    15.360957     0.09538351      1.2273856        5.4823112       18        48              17         244.2753785026309    -23.002470955291763   364.32837    7.6250324    364.17636017645026   7.530904183751019    364.2237882465124    7.3665242195129395   909.45514     941.5739       68.54923         107.68518         16.279547    16.241865     0.08185612      0.12420279       5.088314        16        42              0.28387360437866077   
