# NUMBER_1   ALPHA_SKY_1          DELTA_SKY_1          X_IMAGE_1    Y_IMAGE_1    XWIN_IMAGE_1         YWIN_IMAGE_1         XMODEL_IMAGE_1       YMODEL_IMAGE_1       FLUX_AUTO_1   FLUX_MODEL_1   FLUXERR_AUTO_1   FLUXERR_MODEL_1   MAG_AUTO_1   MAG_MODEL_1   MAGERR_AUTO_1   MAGERR_MODEL_1   FLUX_RADIUS_1   FLAGS_1   NITER_MODEL_1   NUMBER_2   ALPHA_SKY_2          DELTA_SKY_2          X_IMAGE_2    Y_IMAGE_2   XWIN_IMAGE_2         YWIN_IMAGE_2         XMODEL_IMAGE_2       YMODEL_IMAGE_2       FLUX_AUTO_2   FLUX_MODEL_2   FLUXERR_AUTO_2   FLUXERR_MODEL_2   MAG_AUTO_2   MAG_MODEL_2   MAGERR_AUTO_2   MAGERR_MODEL_2   FLUX_RADIUS_2   FLAGS_2   NITER_MODEL_2   Separation            
  1          114.62229468797395   21.543787666169962   274.44983    50.51786     274.4869214761871    50.52816986567821    274.4905791580677    50.52111753821373    18117.947     18164.037      78.413055        90.28741          14.152627    14.149868     0.004700123     0.005398146      3.2139006       0         38              2          114.62228078614707   21.54380401040529    272.54456    51.118614   272.5084709296143    51.186233752247034   272.5283047556877    51.164847657084465   54424.824     54635.15       126.34392        152.48285         13.020107    13.01592      0.002521083     0.0030309495     3.746791        0         37              0.075026503937772     
  2          114.61054875041468   21.54277080454826    415.84616    35.14305     415.78978362518495   35.112526375599984   415.79282104969025   35.10675682872534    16047.822     16192.949      75.75641         85.25106          14.284359    14.274585     0.0051266435    0.005717467      3.2068837       0         37              3          114.61053618448487   21.542767257816465   413.86963    35.737755   413.8531066896312    35.80354992505551    413.8819667622447    35.79130856692791    34710.773     34762.8        109.35481        125.90381         13.508439    13.506813     0.0034213967    0.0039332714     3.7419672       0         37              0.043971826359987205  
  3          114.62609584998329   21.541993783436897   228.26396    27.98066     228.29617257205416   27.979003654074713   228.28972068428993   27.98078721947968    10534.117     10590.752      66.89612         77.69627          14.741404    14.735582     0.006896561     0.0079671545     3.1835787       0         35              5          114.62608120455079   21.542016728745235   226.43303    28.599884   226.35939747620515   28.672353957572316   226.37094861268997   28.656062215566635   22907.37      22943.197      97.208046        112.88875         13.959662    13.957965     0.0046084705    0.005343509      3.725859        0         43              0.09606387647988765   
  4          114.57129623147001   21.543381782616038   889.17       35.802036    889.1977467512199    35.81688497827979    889.1877775043249    35.82381956279278    6448.29       6433.625       59.3464          63.52755          15.274288    15.27676      0.009994928     0.010723491      3.1617718       0         35              4          114.5712471230112    21.54331091476918    887.3598     36.331512   887.3470064831641    36.5145102393303     887.3618164658546    36.497825145721436   12956.115     12922.64       84.923836        89.54682          14.578413    14.581222     0.0071184365    0.007525386      3.737077        0         52              0.3035273548141492    
  5          114.5786007994259    21.54197236416545    800.83215    18.876848    800.976646653229     18.897935568424977   800.938712965697     18.894495375454426   633.7874      586.5155       43.78359         37.336617         17.79304     17.877201     0.07502354      0.06913298       2.9114115       0         47              7          114.57854134522876   21.54191397820447    799.2266     19.423882   799.280182322019     19.497739434340424   799.254366338253     19.500364661216736   1367.4014     1363.5684      52.855854        57.42483          17.01986     17.022907     0.0419785       0.045735415      3.511485        0         34              0.2895069363680915    
  6          114.56720048377241   21.54187448264676    938.24884    15.515595    938.2889771486105    15.229670310771501   938.2767957448959    15.175124645233154   712.5485      703.07715      51.549843        52.02191          17.665863    17.680391     0.07856746      0.08035505       3.2392383       0         47              9          114.56714771170691   21.54180362251482    936.49066    16.140095   936.5061168884553    16.020411876908785   936.516844689846     16.025269089266658   1426.9324     1421.6202      56.5145          53.53142          16.97359     16.97764      0.043011673     0.04089357       3.4471202       0         43              0.3103230461569678    
  7          114.59364345735337   21.541345681550766   619.36163    13.531154    619.3844761216627    13.518641697462757   619.3858143389225    13.52193084359169    2923.463      2829.7646      61.144127        61.50024          16.133156    16.168524     0.022713654     0.02360241       3.257702        16        56              8          114.59360835333092   21.54130772433678    617.5755     14.037957   617.5411224962302    14.135167436765634   617.5218453407288    14.121249176561832   6452.842      6357.1978      80.76447         84.38783          15.335222    15.351436     0.013592495     0.014415972      3.8360457       16        42              0.1802486040489395    
  9          114.59326284874736   21.6192272830144     639.4512     1022.86456   639.4514698600193    1023.1396999060867   639.0591467022896    1024.7818318605423   572.3859      1283.2451      29.060183        354.2299          17.903677    17.027124     0.0551365       0.2997819        2.214271        24        32              13         114.59309407313444   21.619178073311794   637.5276     1022.6814   637.5252954364621    1022.9434277503816   636.5449595451355    1028.497377872467    996.7124      7771.019       41.807343        9534.766          17.363176    15.133405     0.045552533     1.3324836        2.704823        24        64              0.5919791697421669    
  10         114.57103756828695   21.61770199802164    906.9431     999.00244    906.9479912281181    999.0038986288812    905.953372001648     998.9593894891441    173.50085     67.28086       14.092355        243.41975         19.199646    20.22817      0.08820877      3.9291093        0.40683007      0         37              360        114.57069364729522   21.61763222470385    907.01874    998.99744   907.0161209421468    998.9975980927387    908.6352661848068    998.5560875236988    386.43848     153.1228       17.801151        268.02383         18.3919      19.397001     0.050026204     1.900918         0.41686603      0         34              1.1781187457844062    
  11         114.56464193610039   21.617716004663873   984.0079     998.0132     984.0067544147942    998.0079371568681    983.97196229361      998.0269351154566    58.280083     53.034393      9.909794         67.90477          20.384098    20.486506     0.18466061      1.3905048        0.44088146      0         42              361        114.56430205574172   21.617636596686307   983.9924     998.0171    983.9956713166413    998.0511714802421    983.7852423936129    997.9509810321033    52.864826     43.1698        11.801652        58.7477           20.551683    20.77165      0.24244086      1.477885         0.41079926      0         21              1.1728780692283822    
