Name|Sp|Vmag|B-V|Mv|_RA.icrs|_DE.icrs
Sun     |G2 V        |-26.72| 0.65| 4.85|00 02 33.8|+00 16 42
NN 3001 |DC9         | 14.90| 0.46|14.28|00 02 40.1|-34 13 37
GJ 1001 |M3.5        | 12.84| 1.63|12.93|00 04 41.0|-40 42 19
NN 3002 |G2 V        |  6.11| 0.62| 4.56|00 04 53.6|+34 39 34
NN 3003 |G9 V        |  7.82| 0.74| 5.78|00 04 56.6|+23 16 11
Gl 1    |M4 V        |  8.54| 1.46|10.27|00 05 24.6|-37 21 26
Gl 2    |dM2  e      |  9.93| 1.49| 9.63|00 05 11.1|+45 47 10
NN 3004 |G5          |  8.30|     | 6.84|00 05 18.1|+48 28 42
Gl 3    |K5 V        |  8.48| 1.06| 7.10|00 05 17.9|-67 49 58
NN 3005 |M5          | 11.95| 1.50|10.31|00 05 25.5|-50 03 17
Gl 4    |dK6  e      |  8.97| 1.44| 8.67|00 05 41.0|+45 48 45
Gl 4    |M0.5 V      |  9.02| 1.45| 8.72|00 05 41.3|+45 48 41
Gl 4.1  |G5 V        |  6.43| 0.64| 4.77|00 06 15.7|+58 26 15
Gl 4.1  |dG8         |  7.20| 0.78| 5.54|00 06 15.7|+58 26 15
NN 3006 |M4          | 12.16| 1.55|10.86|00 06 12.2|-65 51 16
Gl 4.2  |G1 IV       |  5.71| 0.52| 4.13|00 06 19.1|-49 04 32
Gl 4.2  |            | 11.50|     | 9.90|00 06 19.1|-49 04 32
Gl 5    |K0 Ve       |  6.14| 0.75| 5.37|00 06 37.1|+29 01 15
GJ 1002 |M5-5.5      | 13.75| 1.98|15.39|00 06 43.8|-07 32 22
GJ 1003 |m           | 14.18| 1.49|12.82|00 07 26.5|+29 14 32
Wo 9003 |K0 V        |  8.70| 0.80| 5.77|00 07 32.2|-23 49 08
NN 3007 |M3.5        | 13.07| 1.52|11.29|00 07 58.8|+08 00 21
NN 3008 |dM0         | 10.79| 1.47| 9.15|00 08 27.1|+17 25 27
NN 3009 |M4          | 12.07| 1.54|11.42|00 08 22.3|-57 05 20
Gl 6    |F8 IV       |  6.21| 0.49| 4.53|00 08 40.9|+36 37 35
NN 3010 |m           | 13.54|     |13.41|00 08 54.4|+20 50 24
Gl 7    |m           | 11.72| 1.50| 9.03|00 09 04.2|-27 07 21
Gl 8    |F2 III-IV   |  2.27| 0.34| 1.47|00 09 11.0|+59 08 56
Gl 9.1  |K0 III      |  3.88| 1.03| 2.90|00 09 24.9|-45 44 51
NN 3011 |dM2         | 10.86| 1.47| 9.03|00 11 05.3|-05 47 00
NN 3012 |K7          |  9.48| 1.22| 7.79|00 11 22.0|+58 21 10
Gl 10   |F7 V        |  4.89| 0.49| 3.85|00 11 15.7|-15 28 02
Gl 10.1 |G4 V        |  8.35| 0.62| 4.86|00 11 33.6|-58 54 37
NN 3013 |F4 V        |  5.25| 0.44| 3.47|00 11 44.3|-35 08 01
GJ 1004 |DA8         | 14.36| 0.42|14.15|00 12 15.4|+50 25 24
Gl 11   |dM4   J     | 13.06| 1.60|11.54|00 13 15.5|+69 19 37
Gl 11   |            | 13.40|     |11.90|00 13 15.5|+69 19 37
NN 3014 |M1.5        | 11.12| 1.50|10.05|00 13 40.0|+80 40 01
NN 3015 |m           | 17.40|     |16.30|00 13 48.2|+80 39 54
NN 3016 |DC8         | 15.90| 0.58|14.43|00 14 13.0|-13 11 01
GJ 1005 |M4          | 12.03| 1.72|13.41|00 15 27.7|-16 08 08
NN 3017 |dM3.4       | 14.31| 1.57|13.05|00 15 37.7|-29 46 06
Gl 12   |dM3.5       | 12.58| 1.66|12.26|00 15 48.9|+13 33 20
NN 3018 |m           | 10.95|     | 9.44|00 15 54.6|-67 59 51
NN 3019 |m           | 12.50|     |11.00|00 15 45.7|-67 59 27
NN 3020 |M5          | 11.54| 1.46|10.57|00 16 01.6|-48 15 37
GJ 1006 |M4          | 12.27| 1.50|11.35|00 16 13.8|+19 51 38
GJ 1006 |M4.5        | 13.22| 1.60|12.30|00 16 15.8|+19 51 50
Wo 9006 |m           | 14.80|     |13.00|00 16 21.7|+15 55 17
NN 3021 |G6 V        |  6.60|     | 5.20|00 16 13.6|-79 51 05
NN 3022 |m           | 13.77|     |12.04|00 16 57.3|+20 03 53
GJ 1007 |m           | 13.79| 1.62|12.55|00 16 56.0|+05 07 26
Gl 13   |G2 V        |  6.84| 0.64| 5.98|00 16 53.5|-52 39 05
Gl 14   |dM0.5       |  9.00| 1.36| 8.26|00 17 06.2|+40 56 56
NN 3023 |M2          | 11.55|     |10.09|00 17 19.9|+29 11 01
NN 3024 |M0          | 12.49| 1.57|10.83|00 17 28.3|-08 44 26
NN 3025 |dM0         | 11.00| 1.42| 8.82|00 17 40.9|-08 41 02
NN 3026 |m           | 13.20| 1.58|11.16|00 17 54.9|-17 54 41
Wo 9008 |G2 V        |  6.50| 0.59| 4.62|00 17 59.0|-13 27 20
Gl 15   |M2 V        |  8.08| 1.56|10.39|00 18 22.8|+44 01 24
Gl 15   |M6 Ve       | 11.06| 1.79|13.37|00 18 22.8|+44 01 24
Gl 16   |dM0         | 10.90| 1.50| 8.68|00 18 16.6|+10 12 08
Gl 16.1 |G5 IV-V     |  6.46| 0.68| 5.00|00 18 41.5|-08 03 10
NN 3027 |m           | 13.86|     |12.44|00 18 53.9|+27 48 52
GJ 1008 |K7 V        |  9.94| 1.33| 8.25|00 19 05.5|-09 57 52
Gl 17   |F9 V        |  4.22| 0.58| 4.94|00 20 04.5|-64 52 29
GJ 2003 |M1          | 11.69| 1.55| 9.75|00 20 08.6|-17 03 35
NN 3028 |M6          | 16.05| 1.98|15.56|00 20 29.6|+33 05 13
Gl 17.1 |M1          | 10.40| 1.48| 8.88|00 21 20.1|-45 44 43
NN 3029 |M3:         | 12.29| 1.46|11.10|00 21 41.2|-46 05 05
NN 3030 |m           | 12.84|     |11.11|00 21 57.8|+49 12 36
GJ 1009 |dM2         | 11.16| 1.48|10.35|00 21 57.2|-31 24 28
NN 3031 |DC9         | 16.50| 0.72|14.62|00 22 15.6|+42 36 42
Gl 17.2 |K3 V        |  8.30| 0.90| 6.26|00 22 23.5|-27 02 01
Gl 17.3 |G2 V        |  6.38| 0.66| 5.00|00 22 51.7|-12 12 31
GJ 1010 |k-m         | 11.30| 1.49|10.32|00 23 30.9|+77 11 21
GJ 1010 |m           | 14.00|     |13.00|00 23 32.9|+77 11 27
GJ 2004 |K3/4 V      |  8.75| 1.07| 6.92|00 23 15.3|-33 10 04
NN 3032 |M4          | 11.88| 1.48|10.58|00 23 18.8|-50 53 41
GJ 1011 |k-m         | 14.27| 1.59|13.20|00 23 27.8|+24 18 13
Gl 18   |K3 V        |  7.92| 0.95| 6.50|00 24 25.8|-27 01 36
NN 3033 |m           | 14.54| 1.67|13.16|00 24 35.0|+30 02 25
GJ 2005 |M5.5        | 15.42|     |16.04|00 24 42.0|-27 08 52
NN 3034 |m           | 14.30|     |12.90|00 25 20.9|+22 53 13
Gl 19   |G2 IV       |  2.80| 0.62| 3.76|00 25 45.0|-77 15 13
Gl 20   |A7 Vn       |  3.94| 0.17| 3.20|00 26 12.3|-43 40 46
Gl 21   |dM0         | 10.52| 1.49| 9.20|00 26 52.7|+70 08 33
NN 3035 |m           | 14.25|     |12.62|00 27 06.6|+49 41 52
GJ 1012 |M4          | 12.19| 1.48|11.56|00 28 39.7|-06 39 53
NN 3036 |m           | 13.15|     |12.55|00 28 54.6|+50 22 35
GJ 1013 |m           | 12.75| 1.64|11.70|00 31 35.9|-05 52 13
Gl 22   |dM2.5e      | 10.38| 1.54|10.39|00 32 29.9|+67 14 09
Gl 22   |dM3.5       | 12.40|     |12.40|00 32 29.9|+67 14 09
NN 3037 |g-k         | 17.34|     |15.51|00 32 09.4|-02 54 01
NN 3038 |K7          |  9.61| 1.35| 7.29|00 32 15.6|-63 05 26
NN 3039 |m           | 12.70|     |12.37|00 32 35.5|+07 29 29
Wo 9015 |A0 V        |  5.75| 0.04| 4.15|00 32 44.2|-63 01 53
Wo 9015 |A           |  6.00|     | 4.40|00 32 44.2|-63 01 53
NN 3040 |k-m         | 13.52| 1.65|12.04|00 34 37.1|+71 11 46
Wo 9016 |F8          |  7.37| 0.54| 3.88|00 34 29.4|+47 54 59
Gl 22.2 |F3 IV-V     |  5.57| 0.46| 4.00|00 34 27.4|-52 22 26
Gl 23   |F6 V        |  5.65| 0.57| 4.59|00 35 14.5|-03 35 36
Gl 23   |G1 V        |  6.40|     | 5.30|00 35 14.5|-03 35 36
GJ 1014 |            | 15.32| 1.89|14.35|00 35 55.4|+10 28 34
NN 3041 |F6 V        |  5.51| 0.44| 3.52|00 35 40.9|-48 00 04
NN 3042 |M2          | 11.71| 1.54|10.53|00 36 08.8|+45 30 53
NN 3043 |G5          |  7.87|     | 6.18|00 36 24.3|+08 52 28
Gl 24   |G3 V        |  6.79| 0.64| 4.38|00 36 37.8|-49 07 54
Gl 24   |K0 V        |  8.37| 0.78| 5.96|00 36 04.0|-49 07 42
Gl 25   |G7 V        |  6.23| 0.72| 5.52|00 37 21.0|-24 46 01
Gl 25   |G8 V        |  6.40|     | 5.70|00 37 21.0|-24 46 01
GJ 2010 |DA7         | 14.53| 0.45|13.49|00 37 24.9|-20 53 47
NN 3044 |M0          | 10.48| 1.42| 8.70|00 38 15.3|+52 19 53
NN 3045 |m           | 12.60|     |11.05|00 38 33.8|+51 27 54
Gl 26   |dM4         | 11.06| 1.53|10.56|00 38 59.2|+30 37 01
NN 3046 |m           | 12.83|     |10.79|00 39 32.2|+60 33 09
Gl 27   |K0+ V       |  5.85| 0.85| 5.74|00 39 21.4|+21 15 04
Gl 27.1 |M0.5        | 11.40| 1.49| 9.57|00 39 59.1|-44 15 14
Gl 27.2 |G3 V        |  6.15| 0.71| 4.17|00 40 33.1|-23 48 13
Gl 28   |K2 Ve       |  7.36| 0.94| 6.20|00 40 48.9|+40 11 12
Gl 29   |G1 V        |  5.90| 0.56| 4.67|00 40 26.2|-59 27 16
NN 3047 |m           | 13.83|     |12.45|00 40 56.6|+31 22 59
GJ 1015 |m           | 14.02| 1.55|12.20|00 41 20.5|+55 49 59
GJ 1015 |DQ5         | 14.08| 0.02|12.26|00 41 21.5|+55 50 05
GJ 2012 |DQ9         | 14.53| 0.62|14.55|00 41 25.4|-22 21 04
GJ 1016 |k           | 10.60| 1.40| 8.87|00 41 29.4|-33 37 39
GJ 1017 |m           | 12.25|     |10.50|00 42 06.9|-52 22 21
GJ 1018 |m           | 12.65| 1.54|11.31|00 42 17.2|-36 43 00
Gl 29.1 |dM0  e      | 10.52| 1.50| 8.90|00 42 48.3|+35 32 54
Gl 30   |dK5         |  8.73| 1.12| 7.42|00 43 33.1|+33 50 43
GJ 1019 |m           | 14.52| 1.59|13.10|00 43 35.9|+28 26 38
NN 3048 |dM0         | 10.97| 1.34| 9.10|00 43 41.6|+23 53 10
Gl 31   |K1 IIIe     |  2.04| 1.01| 0.72|00 43 35.6|-17 59 09
NN 3049 |M4          | 13.10|     |13.10|00 43 25.7|-41 17 38
NN 3050 |G8          |  7.19| 0.75| 5.60|00 45 04.6|+75 56 13
NN 3051 |m           | 12.79| 1.49|11.49|00 44 19.4|+12 37 02
NN 3052 |m           | 13.80|     |13.30|00 44 20.5|+09 07 35
Wo 9024 |G5 V        |  7.79| 0.67| 5.03|00 44 26.6|-26 30 58
Gl 31.2 |dM2         | 10.78| 1.44| 8.84|00 44 37.5|-18 56 51
Gl 31.2 |m           | 16.30|     |14.40|00 44 35.5|-18 57 09
Gl 31.3 |F2 V        |  5.23| 0.34| 3.60|00 44 44.4|-22 00 19
NN 3053 |m           | 14.20|     |13.50|00 45 00.4|-15 16 23
Gl 31.4 |K2 V        |  8.01| 1.00| 6.55|00 45 05.0|+01 47 07
Gl 31.5 |G3 V        |  6.54| 0.65| 4.99|00 44 39.1|-65 39 01
GJ 1020 |G0 V        |  6.15| 0.61| 4.64|00 45 28.7|-12 52 52
NN 3054 |M3          | 11.91| 1.48|10.08|00 45 29.9|-51 37 39
Gl 32   |K5 V        |  8.41| 1.17| 7.96|00 45 48.5|-41 54 34
Gl 32   |K7 V        |  9.06| 1.27| 8.61|00 45 48.2|-41 54 36
GJ 1021 |G5 IV       |  5.80| 0.64| 4.20|00 45 45.5|-47 33 08
NN 3055 |M3 :        | 13.98| 1.64|12.00|00 46 55.0|-26 08 04
NN 3056 |m           | 14.40|     |13.06|00 47 08.4|-23 30 34
Wo 9029 |F7/8 V      |  7.85| 0.54| 5.90|00 47 30.9|-36 56 26
Wo 9029 |m           | 15.50|     |13.50|00 47 29.9|-36 57 20
Gl 33   |K2 V        |  5.74| 0.88| 6.41|00 48 22.5|+05 16 48
Gl 34   |G3 V        |  3.45| 0.57| 4.58|00 49 05.4|+57 49 01
Gl 34   |K7 V        |  7.51| 1.39| 8.64|00 49 05.4|+57 49 01
NN 3057 |M4          | 12.38| 1.52|10.50|00 48 46.2|+27 01 07
NN 3058 |m           | 13.06|     |11.72|00 48 58.0|+44 34 45
Gl 34.1 |F8 V        |  5.07| 0.51| 3.77|00 48 58.9|+16 56 28
Gl 35   |DZ7         | 12.38| 0.55|14.20|00 49 10.1|+05 23 16
NN 3059 |M2          | 10.75| 1.43| 9.16|00 49 01.4|-50 08 44
Gl 36   |G9 V        |  7.16| 0.78| 6.14|00 49 26.6|-23 12 46
GJ 1022 |M6          | 12.16| 1.46|10.47|00 49 34.0|-61 01 26
Gl 37   |F7 IV-V     |  5.17| 0.50| 4.12|00 50 07.3|-10 38 40
NN 3060 |m           | 12.70|     |12.00|00 50 33.1|+24 48 59
NN 3061 |m           | 13.30|     |12.60|00 50 33.1|+24 48 59
NN 3062 |A3          |  9.60| 0.89| 6.11|00 50 20.9|-27 26 13
Gl 38   |dM2         | 10.67| 1.39| 9.31|00 51 29.5|+58 18 07
Gl 39   |dK6         |  9.24| 1.21| 7.65|00 51 21.7|+18 44 23
GJ 2015 |K0          | 10.41| 1.08| 7.02|00 51 22.3|-27 23 12
Gl 40   |K5 V        |  8.96| 1.29| 8.16|00 51 33.8|-22 54 44
Gl 40   |m           | 17.30|     |16.50|00 51 35.8|-22 54 37
Gl 41   |F8 V        |  4.82| 0.53| 4.22|00 53 04.2|+61 07 26
NN 3063 |M3          | 11.92| 1.49|10.04|00 52 26.6|-41 14 45
Gl 42   |K3 V        |  7.17| 0.93| 6.36|00 53 01.4|-30 21 23
GJ 1023 |G0          |  9.70| 0.55| 8.30|00 54 17.4|+69 02 50
GJ 1023 |            | 10.40| 0.64| 9.00|00 54 19.5|+69 02 50
Gl 42.1 |G5          |  7.38| 0.65| 4.91|00 54 59.0|+24 06 00
Gl 43   |m           | 12.36| 1.51|11.31|00 55 25.4|-51 49 58
NN 3064 |DA7         | 15.25| 0.35|13.42|00 55 50.2|-11 27 30
NN 3065 |K5 V        |  9.48| 1.18| 7.49|00 55 49.3|-29 40 30
NN 3066 |K4 V        |  9.10| 1.03| 6.94|00 57 03.8|+69 02 37
NN 3067 |            | 10.96| 0.96| 9.20|00 56 19.6|-28 08 22
GJ 1024 |m           | 13.71| 1.64|12.50|00 56 39.1|+17 27 34
Gl 44   |K1          |  9.46| 0.86| 8.69|00 57 20.3|-01 48 56
Gl 45   |K7 V        |  9.50| 1.30| 8.39|00 57 20.1|-62 14 41
Gl 46   |M3.5        | 11.77| 1.57|11.05|00 58 27.8|-27 51 21
GJ 2017 |G0          |  9.87| 0.50| 8.70|00 59 51.5|-25 35 28
Gl 46.1 |G5          |  7.33| 1.07| 5.90|01 00 15.4|+18 11 52
NN 3068 |m           | 13.28|     |11.55|01 00 49.4|+66 56 53
GJ 2018 |K2          |  9.95| 1.11| 7.11|01 00 18.1|-25 36 53
GJ 2019 |K0          | 10.11| 0.76| 8.60|01 00 37.2|-26 38 15
Gl 47   |dM2.5e      | 10.83| 1.57|10.66|01 01 20.3|+61 21 59
GJ 1025 |            | 13.32| 1.73|12.21|01 00 56.6|-04 27 00
Gl 48   |dM3.5e      | 10.04| 1.46|10.35|01 02 32.6|+71 40 49
Wo 9035 |dG2         |  8.45| 0.60| 6.50|01 03 38.7|+82 06 03
NN 3069 |m           | 15.12| 1.84|14.20|01 01 59.8|+54 10 48
GJ 2020 |F0 V        |  9.75| 0.33| 9.40|01 01 49.2|-25 53 15
Gl 49   |K5 V        |  9.56| 1.50| 9.82|01 02 39.0|+62 20 40
Gl 50   |K5 V        | 10.50| 1.25| 7.81|01 01 57.0|-09 53 13
NN 3070 |            | 11.84| 1.23|10.00|01 01 54.6|-25 45 42
NN 3071 |K0          |  8.20| 1.00| 6.37|01 02 24.3|+05 03 42
NN 3072 |K7 V        | 10.04| 1.35| 8.49|01 02 24.5|-10 24 47
Gl 51   |M5          | 13.66| 1.68|13.88|01 03 20.7|+62 21 58
NN 3073 |m           | 13.64|     |11.86|01 03 13.7|+31 41 01
GJ 1026 |M1.5        | 11.88|     |10.72|01 03 14.5|+20 05 56
GJ 1026 |M3.5        | 12.40|     |11.20|01 03 14.5|+20 05 56
GJ 1027 |DA6         | 13.96| 0.31|12.31|01 03 50.3|+05 04 35
Wo 9036 |K5 V        |  9.80| 1.19| 7.52|01 04 23.9|-25 36 18
GJ 1028 |m           | 14.46| 1.87|14.46|01 04 53.2|-18 07 29
Wo 9037 |G3 IV       |  7.72| 0.60| 5.84|01 04 39.9|-39 29 16
GJ 1029 |m           | 14.80| 1.89|14.30|01 05 37.9|+28 29 30
Gl 52   |K7 V        |  8.98| 1.30| 8.12|01 07 08.7|+63 56 30
GJ 1030 |k-m         | 11.43| 1.47|10.44|01 06 41.5|+15 16 16
Gl 52.1 |K1 V        |  8.85| 0.94| 7.21|01 06 48.0|-50 59 28
NN 3074 |m           | 10.76| 1.38| 8.88|01 07 13.7|-32 25 44
Gl 53   |G5 VI       |  5.17| 0.69| 5.81|01 08 16.7|+54 55 11
Gl 53   |            | 11.00|     |12.00|01 08 16.7|+54 55 11
Gl 52.2 |M3          | 13.35| 1.59|11.59|01 07 48.2|+34 12 31
Gl 53.1 |K4 V        |  8.41| 1.12| 6.77|01 07 38.2|+22 57 18
Gl 53.1 |M3          | 13.60|     |11.96|01 07 38.2|+22 57 18
GJ 1031 |dM5         | 13.42| 1.70|12.82|01 08 17.8|-28 48 25
Gl 53.2 |dK6         | 10.55| 1.27| 8.01|01 08 40.5|+17 14 36
NN 3075 |K1.5 III    |  3.45| 1.16| 1.49|01 08 35.0|-10 10 56
Wo 9043 |G8/K0 V     |  9.10| 0.79| 5.71|01 08 57.7|-30 55 50
GJ 1032 |dM2         | 12.38| 1.53|10.96|01 09 12.7|-24 41 25
GJ 2021 |m           | 14.52|     |13.58|01 09 18.5|-24 30 29
Gl 53.3 |M0 IIIe     |  2.05| 1.57| 0.49|01 09 43.5|+35 37 16
Gl 54   |k           |  9.80| 1.54|10.21|01 10 22.9|-67 26 40
NN 3076 |m           | 14.36|     |14.72|01 11 25.9|+15 26 19
NN 3077 |m           | 12.89| 1.62|11.94|01 11 55.6|+04 55 05
NN 3078 |m           | 13.91| 1.70|12.96|01 11 57.6|+04 54 05
NN 3079 |DAwk        | 14.09|     |14.07|01 12 28.1|-01 51 26
Gl 54.1 |dM5  e      | 12.05| 1.84|14.19|01 12 30.6|-16 59 59
NN 3080 |G5          |  7.28| 0.78| 5.64|01 13 06.4|+41 39 15
GJ 1033 |            | 14.16| 1.58|13.12|01 13 25.3|-22 54 07
NN 3081 |dM2.5       | 13.85| 1.66|12.02|01 14 08.7|-36 56 44
Gl 54.2 |F5 V        |  5.14| 0.45| 3.91|01 14 24.2|-07 55 25
Gl 54.2 |K1 V        |  7.85| 0.78| 6.62|01 14 22.2|-07 54 36
Wo 9046 |G0 V        |  8.47| 0.56| 6.60|01 14 25.3|-41 53 41
NN 3082 |M3          | 11.09| 1.48| 9.87|01 14 35.3|-53 56 54
Gl 54.3 |K0 IV/V     |  9.05| 0.76| 7.43|01 14 41.1|-64 45 48
Gl 55   |F8 V        |  4.96| 0.58| 4.53|01 15 11.2|-45 31 54
Gl 55.1 |K2 V        |  7.80| 0.98| 6.42|01 15 01.3|-68 49 10
